1:26:47 AM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
1:26:49 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
1:26:50 AM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
1:26:50 AM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
1:26:50 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9IlFWYzRCU1U0Ty5oNHpFcEdNYy0tSmwtYXl5TSIgSXNzdWVJbnN0YW50PSIyMDE3LTA2LTI3VDA4OjI2OjUwLjA1MVoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJQX09CYllocF9NN0R0NmRuT3hKcGNFTGRlYzMiIElzc3VlSW5zdGFudD0iMjAxNy0wNi0yN1QwODoyNjo1MC4wODJaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI1BfT0JiWWhwX003RHQ2ZG5PeEpwY0VMZGVjMyI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPitRTmsyVWZKUWh1YnNJWnpoQlRFMk9jTFo2UUJVTThyb0ZqV1RzVzQ1eGM9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpnakdrQlFpUzFoblRRTVFKc1FJaWJlQTlXU3ZnMlcwUXBFcUpXb0FpUGNXaG1qM2VoK042NUduTFBsaUxreG40NzJzYUUzaEU2Y2pJCkozYXZRWFJIRk93VGhTMXk0c1lNRStUU0p0ZHBDNkloZWlXckIvdE9zbHN0WDltTTBMd0hGaWhkOFR3Vy9kTWhvTTBhRjNmTzFEek4KNmVTd0taV0dkanVpK3FFRnVsWitPRlk5bk9RUXlMNjk4MlFCQlR1R3Z3WE9FNnk5bHFBenkyNTJxRjRkaG9zSXJESE1ZSnFoMUJEagpPMmExQ2l4bTl3OUhvVDdjbGZubG1qbTMwd0hsSVMvNG9EMjZscmdOTWNOaTVxWVQ1NjlJZThoNEtvUGpKeitUVnVLbWZaWHJNRnZSCjFubjJKdTU1ZVZHcFZQdTliaU4zaURRMDluclcvNFdxQmZnU3hRPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA2LTI3VDA4OjMxOjUwLjA4MloiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNi0yN1QwODoyMTo1MC4wODJaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDYtMjdUMDg6MzE6NTAuMDgyWiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9IlBfT0JiWWhwX003RHQ2ZG5PeEpwY0VMZGVjMyIgQXV0aG5JbnN0YW50PSIyMDE3LTA2LTI3VDA4OjI2OjUwLjA4MloiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
1:26:50 AM: Source:Forms.login.Page_Load, Message:Replay attack check
1:26:50 AM: Source:Forms.login.Page_Load, Message:NotBefore6/27/2017 1:21:50 AM
1:26:50 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter6/27/2017 1:31:50 AM
1:26:50 AM: Source:Forms.login.Page_Load, Message:CurrentDate6/27/2017 1:26:50 AM
1:26:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
1:26:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
