12:04:11 AM: Source:forms_login_aspx.ProcessRequest, Message:Session Expired/Redirecting to logout Page 
12:21:42 AM: Source:forms_login_aspx.ProcessRequest, Message:Session Expired/Redirecting to logout Page 
12:21:43 AM: Source:forms_login_aspx.ProcessRequest, Message:Request sent to SSO 
12:21:59 AM: Source:forms_login_aspx.ProcessRequest, Message:The User is not Authenticated, So Session is Abandoned 
12:21:59 AM: Source:forms_login_aspx.ProcessRequest, Message:Response received from SSO. 
12:21:59 AM: Source:forms_login_aspx.ProcessRequest, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9Ikg4U2NCOHJ1MUQxZmgzbTJ3MjVBUWpOLjJrciIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTA2VDA3OjIxOjU5LjQzMFoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJYdDZLS08zR09ZaE8wVlZPdDZncXJVVkxoMmsiIElzc3VlSW5zdGFudD0iMjAxNy0wNy0wNlQwNzoyMTo1OS40NDZaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI1h0NktLTzNHT1loTzBWVk90NmdxclVWTGgyayI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPjVXazVoZkk1d0JCQUNTaTlpQWZQcDNoNzE5UEd2VXZ5eVVNdWV0c2FwRUE9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgppVWdQdUdtcVFRb21uWWlqS2Z2Z3N3dGZxWUg3aWRPVVcrRlA4ODR3SHBFU1lhTE03azcwN1FxM1pPYU9wRXJacjRaMkhwZEU3bU1MCmlMTHhMWEoxMnB1N0JKSGl2QXpwSDlmYXlTUzdrY0lvTnRpTXE2RDNtOW41VGpmM1dtYXpOY1NnNldtdndyVHVhTXNyOERGbWR2bFYKY2JuYXI2TlMrOXlpUVd6TmRPbXBTVVk5SUoyeFFxT1c1cDhka1UyVk85cHZCRTk4NDVZNnhWcmM1cXEzdVd0a05MRm04QU4xL0pCQgplS0IwVkgycnJNVVRKM2VGTkxTSk5XNXc0Y2ozVVdQdTlnQTlKbWxreXNKRGgxMlR5blJIQ3J4VTZrMEpHQnhBNFQ0b0FsbkdYL3VPCmNOT3ZUOWV6b0VOcDdTQ3B0Zk82cURCUlpNV25BVU14bWRUVkJRPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTA2VDA3OjI2OjU5LjQ0NloiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0wNlQwNzoxNjo1OS40NDZaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMDZUMDc6MjY6NTkuNDQ2WiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9Ilh0NktLTzNHT1loTzBWVk90NmdxclVWTGgyayIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTA2VDA3OjIxOjU5LjQ0NloiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
12:21:59 AM: Source:MSCR.Forms.login.Page_Load, Message:Replay attack check
12:21:59 AM: Source:MSCR.Forms.login.Page_Load, Message:NotBefore7/6/2017 12:16:59 AM
12:21:59 AM: Source:MSCR.Forms.login.Page_Load, Message:NotOnOrAfter7/6/2017 12:26:59 AM
12:21:59 AM: Source:MSCR.Forms.login.Page_Load, Message:CurrentDate7/6/2017 12:21:59 AM
12:21:59 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
