12:44:48 AM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
12:44:49 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
12:44:50 AM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
12:44:50 AM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
12:44:50 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9InZJay5yTDdMb2NqYW1EbEJlbUt6TUhrZ0ZIeiIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTExVDA3OjQ0OjUwLjU2NFoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJIQTgyNy51LXZOVXIxdjV0V1RBbDhsTFg1OHAiIElzc3VlSW5zdGFudD0iMjAxNy0wNy0xMVQwNzo0NDo1MC41NzlaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI0hBODI3LnUtdk5VcjF2NXRXVEFsOGxMWDU4cCI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPkZraldENjNsLzNGcVcrdHJ5UVRNdUZTY25nZXpsUlZCRSt3NlRCK3QwMzA9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpsQjFDUVcxYXJVQjc5OHdhb0ZUYWVOT2pjN0pUWjBQTk0wOUNQMm5mM2MzTWRYa3NzeFIwMlUrL3JLQTJFekM4QTIwRVFZYkRpRVgwCkgzTURGb2RQVm5SZ0t2LzBYelNBQUJoQ2xhb2pIdkRjWmlxVUNHUS9uWmtkZGM0bnRqMFFuU0wydEdYV1ZDTUtKb3NYMXg0WWpCbkMKM2hrL0Zoakt1WmYwN2Nua29GMjh2L1picWtQcTdXb3NwV01HeStmT3R6VFFNaHVJY295d01MNTVHTEE0OXdLU0pxS3h2RExQWXpOSQpsd0VIOThZUlUwTFdYWkZ4YWVTcFdTR3VlajJaRHg1b0Rxem9GQTBwN3FMWDdweE4rem50UFZYUUtTb3p3RGFUQ0hCM1RMamNqbXdrCm5UWGl3RDNibjdDQlBkVUNuNkxTaGZ4TXFTVEZMcEcwY1ZQQS9nPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTExVDA3OjQ5OjUwLjU3OVoiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0xMVQwNzozOTo1MC41NzlaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMTFUMDc6NDk6NTAuNTc5WiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9IkhBODI3LnUtdk5VcjF2NXRXVEFsOGxMWDU4cCIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTExVDA3OjQ0OjUwLjU3OVoiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
12:44:50 AM: Source:Forms.login.Page_Load, Message:Replay attack check
12:44:50 AM: Source:Forms.login.Page_Load, Message:NotBefore7/11/2017 12:39:50 AM
12:44:50 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter7/11/2017 12:49:50 AM
12:44:50 AM: Source:Forms.login.Page_Load, Message:CurrentDate7/11/2017 12:44:50 AM
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgs35gur
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : dev-sso.tent.trt.csaa.pri
12:44:50 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:44:50 AM: Source:Forms.login.Page_Load, Message:SSO UserID: xgs35gur
12:44:50 AM: Source:Forms.login.Page_Load, Message:Successfully retrieved the Logged-in User details from DB. UserID: xgs35gur
2:47:17 AM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
