12:19:08 AM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
12:19:10 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
12:19:10 AM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
12:19:10 AM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
12:19:10 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9ImpqOF9oZlJLR3FJZmZZQll4LXNUVW5IdXFlbCIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTEyVDA3OjE5OjEwLjM2NloiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJ2MlluSkItc1ZpdnpHMjhWeG9JTW8wdVMxbnIiIElzc3VlSW5zdGFudD0iMjAxNy0wNy0xMlQwNzoxOToxMC40MTNaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI3YyWW5KQi1zVml2ekcyOFZ4b0lNbzB1UzFuciI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPnFNRjlTLzRuQnRtenV3ZGt1S2J5VWExc2VSdWtwTzg5OHI5VVNHekxqR1k9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpWcks2WGhqVXBKUjg5eXM0MHBpNkNUNFNUVEY1SHRrd092L2JaRVRsOTY3cTF3RTFJYUlmQWhvMXVHODZIa0pTV0hYVEtyNGQraXVoCk01aVl5TFBISjZZRHNLdUg0MmZiNGNOZ1h5L1Z2MmtrZlYyS1NIcEhMZG5YZUpqMldKUGw0dVBtRXAydmFHTTRWeGNEZWhkU2Rsc3YKZFlkOHlzSm5ENTZvbDcrQXlxdWpNT0RzMFVaS2tVWU5XL2ZYUXp6K2doZHQ4MzZkdVZjUVYxMFh0Q2k5WG9ZbVlzN1hLK0dLcW41KwppTWIyVnJPd2VhRXpDZkY1TWdSeElrc2RqY3hSc2c0c3BPRThxL2tkbGRCWktjYjBQamtTbXh2ZmZDMHZWcTI5TVNHS1gxMmpNQ0hqCmFYdWxua1pleXZXLzZPYUdKYmMxUTYrUHpEUW1TeHlzTXJxdlNnPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTEyVDA3OjI0OjEwLjQxM1oiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0xMlQwNzoxNDoxMC40MTNaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMTJUMDc6MjQ6MTAuNDEzWiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9InYyWW5KQi1zVml2ekcyOFZ4b0lNbzB1UzFuciIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTEyVDA3OjE5OjEwLjM4MVoiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
12:19:10 AM: Source:Forms.login.Page_Load, Message:Replay attack check
12:19:10 AM: Source:Forms.login.Page_Load, Message:NotBefore7/12/2017 12:14:10 AM
12:19:10 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter7/12/2017 12:24:10 AM
12:19:10 AM: Source:Forms.login.Page_Load, Message:CurrentDate7/12/2017 12:19:10 AM
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgs35gur
12:19:10 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
